mz,int,formula
293.066676,949.4,C14H14O7
293.077909,25.7,C13H14N2O6
293.081932,75.7,C18H14O4
293.103061,960,C15H18O6
293.118317,6.2,C19H18O3
293.139446,294.4,C16H22O5
294.025539,39.2,C12H9N1O8
294.061925,148.8,C13H13N1O7
294.09831,56.4,C14H17N1O6
295.009555,288,C12H8O9
295.024811,125.4,C16H8O6
295.04594,1127.1,C13H12O8
295.057174,32.5,C12H12N2O7
295.061196,160.5,C17H12O5
295.082326,1530.5,C14H16O7
295.093559,18,C13H16N2O6
295.097582,69.2,C18H16O4
295.118711,1008.5,C15H20O6
295.155097,97.9,C16H24O5
296.041189,121.5,C12H11N1O8
296.077575,123.6,C13H15N1O7
296.11396,7,C14H19N1O6
297.004076,63.8,C15H6O7
297.025205,715.3,C12H10O9
297.040461,219.7,C16H10O6
297.06159,1667.6,C13H14O8
297.072824,27.6,C12H14N2O7
297.076846,147.6,C17H14O5
297.097976,1645.9,C14H18O7
297.113232,66.8,C18H18O4
297.134361,433.1,C15H22O6
297.149617,7.9,C19H22O3
297.152988,100.6,C16H26O3S1
298.056839,141.5,C12H13N1O8
298.093225,51.2,C13H17N1O7
299.00447,65,C11H8O10
299.019726,196,C15H8O7
299.023097,57.1,C12H12O7S1
299.040855,1378.9,C12H12O9
299.052088,28.6,C11H12N2O8
299.056111,258.4,C16H12O6
299.07724,1666.2,C13H16O8
299.088474,6,C12H16N2O7
299.092497,151.1,C17H16O5
299.113626,651.4,C14H20O7
299.128882,84.9,C18H20O4
299.150011,43.4,C15H24O6
299.165267,6.1,C19H24O3
300.014975,6,C14H7N1O7
300.05136,45.9,C15H11N1O6
300.072489,79.7,C12H15N1O8
300.99899,78.4,C14H6O8
301.002361,7.8,C11H10O8S1
301.020119,367.3,C11H10O10
301.035376,333.9,C15H10O7
301.038747,31,C12H14O7S1
301.056505,1017.2,C12H14O9
301.067738,2.6,C11H14N2O8
301.071761,293.7,C16H14O6
301.09289,584.2,C13H18O8
301.108146,185.5,C17H18O5
301.129276,76.6,C14H22O7
301.144532,87.2,C18H22O4
302.030625,41.1,C14H9N1O7
302.06701,47.8,C15H13N1O6
302.103396,6.5,C16H17N1O5
303.01464,238.5,C14H8O8
303.018011,10.3,C11H12O8S1
303.03577,419.5,C11H12O10
